ClinicID,ClinicName,ClinicPhone,ClinicEmail,ClinicAddress,ClinicCity,ClinicState,ClinicZip
67,Spinka Inc,1-(386)607-5605,fsedgwick1u@de.vu,63 Dakota Plaza,Daytona Beach,FL,32123
68,McDermott  Hudson and Rodriguez,1-(269)517-2133,cnaden1v@discuz.net,00 Sachs Alley,Kalamazoo,MI,49048
69,Heidenreich Inc,1-(225)206-9899,lleaman1w@behance.net,575 Commercial Road,Baton Rouge,LA,70815
70,Altenwerth  Labadie and Will,1-(513)256-7602,gcopson1x@cornell.edu,0 Everett Street,Cincinnati,OH,45243
71,Kemmer  Kuhlman and Hamill,1-(612)400-4880,bblanden1y@zimbio.com,67 Moulton Junction,Minneapolis,MN,55417
72,Beahan  Morar and Prosacco,1-(404)250-0849,adenny1z@geocities.jp,05177 Nova Parkway,Atlanta,GA,31190
73,Von-Morar,1-(864)360-1716,swyrall20@cdbaby.com,17458 Kinsman Place,Greenville,SC,29610
74,Russel Group,1-(202)357-4814,abillin21@google.com.hk,11 Haas Way,Washington,DC,20022
75,Kshlerin-Abernathy,1-(626)234-6415,arickell22@soup.io,2039 Debs Place,Pasadena,CA,91131
76,Kunde and Sons,1-(316)978-9608,aantoons23@4shared.com,72 Judy Parkway,Wichita,KS,67260
77,Homenick LLC,1-(915)521-4418,tbutchard24@vistaprint.com,8 Nova Place,El Paso,TX,79945
78,Davis-Bradtke,1-(404)294-3082,llathleiff25@wired.com,67472 Lyons Plaza,Atlanta,GA,30343
79,Nitzsche Group,1-(734)479-2625,enealey26@google.com.br,48 Lighthouse Bay Way,Southfield,MI,48076
80,Rogahn Group,1-(716)186-4901,azuker27@clickbank.net,272 Elmside Junction,Buffalo,NY,14220
81,Pouros Group,1-(314)665-3502,cpearn28@indiegogo.com,8604 Service Circle,Saint Louis,MO,63131
82,MacGyver  Hyatt and Zieme,1-(212)168-5622,ccastelletto29@amazonaws.com,471 Utah Trail,New York City,NY,10039
83,Dare Inc,1-(913)453-7185,zgammill2a@ca.gov,982 Division Place,Kansas City,KS,66160
84,Sawayn-Beier,1-(202)527-0224,ppashbee2b@youtu.be,0 Mariners Cove Road,Washington,DC,20591
85,Kozey Inc,1-(916)792-9819,llambourne2c@cbslocal.com,681 Vermont Circle,Sacramento,CA,94230
86,Reynolds Group,1-(719)963-1220,hcastana2d@yellowbook.com,6297 Tennessee Court,Pueblo,CO,81005
87,Graham  Shanahan and Nader,1-(304)531-8556,mhaxell2e@slideshare.net,52 Lakeland Point,Huntington,WV,25770
88,Considine-Brakus,1-(757)910-6557,wjeeves2f@hao123.com,1174 5th Terrace,Newport News,VA,23612
89,Bergstrom LLC,1-(817)611-2829,yspridgen2g@merriam-webster.com,170 Forster Point,Fort Worth,TX,76121
90,Emmerich  Schoen and Roberts,1-(254)408-4500,lmatuska2h@sakura.ne.jp,5474 Kinsman Park,Waco,TX,76705
91,Dicki LLC,1-(214)556-3491,kmaccole2i@bravesites.com,92345 Reindahl Hill,Arlington,TX,76096
92,Koch-Beatty,1-(913)206-4020,cgottelier2j@wsj.com,59 Sunfield Place,Kansas City,KS,66160
93,Walsh Group,1-(202)852-3221,ekops2k@google.it,17086 Eastwood Lane,Washington,DC,20210
94,Feeney LLC,1-(727)880-2336,rchriston2l@last.fm,01 Texas Street,Clearwater,FL,33763
95,Nienow LLC,1-(707)179-2579,ddamsell2m@cnet.com,77 Scofield Junction,Petaluma,CA,94975
96,Lakin Group,1-(702)386-4672,aflatley2n@unc.edu,7882 Ramsey Lane,Las Vegas,NV,89145
97,Corkery LLC,1-(303)217-0912,ebednall2o@purevolume.com,87 Packers Court,Aurora,CO,80045
98,Gorczany-Torphy,1-(864)233-0023,jlumber2p@ustream.tv,04 Schiller Drive,Anderson,SC,29625
99,Lang LLC,1-(585)208-5135,fhehl2q@guardian.co.uk,8 Eagan Point,Rochester,NY,14683
100,Kshlerin  Mayer and Friesen,1-(864)848-3495,lparaman2r@cam.ac.uk,95 Sutherland Street,Greenville,SC,29610
101,Runte-Schmeler,1-(814)444-7159,amccarrison2s@arizona.edu,1 Maple Street,Erie,PA,16505
102,Ritchie-Kreiger,1-(215)541-3180,alacy2t@bizjournals.com,9 Colorado Alley,Philadelphia,PA,19151
103,Hahn-Bernhard,1-(916)686-6626,korodane2u@scientificamerican.com,32959 Waxwing Place,Sacramento,CA,94245
104,Luettgen-Connelly,1-(918)343-9964,gdomleo2v@unc.edu,3998 Hazelcrest Lane,Tulsa,OK,74149
105,Walker and Sons,1-(714)499-9403,nledster2w@w3.org,91685 Dovetail Circle,San Jose,CA,95128
106,Kuphal LLC,1-(202)237-2329,adytham2x@time.com,409 Dakota Plaza,Washington,DC,20420
107,Koss-Lowe,1-(210)972-8568,cludlom2y@irs.gov,5948 Elmside Pass,San Antonio,TX,78205
108,Cremin-Brekke,1-(202)606-2312,vcasley2z@examiner.com,6005 Esker Crossing,Washington,DC,20310
109,Bechtelar LLC,1-(314)310-3813,smadge30@sakura.ne.jp,0 Pankratz Parkway,Saint Louis,MO,63158
110,Ritchie-Vandervort,1-(720)791-8271,njeste31@chronoengine.com,368 Paget Terrace,Denver,CO,80204
111,Hintz-Marks,1-(812)873-9669,bbarnson32@clickbank.net,559 International Avenue,Evansville,IN,47712
112,Rempel Group,1-(772)132-3696,oadam33@yale.edu,86997 Manley Pass,Port Saint Lucie,FL,34985
113,Hickle-Bashirian,1-(415)109-9646,lpinare34@goo.gl,5981 International Trail,San Francisco,CA,94159
114,Ledner Inc,1-(206)729-8183,ddavidzon35@arizona.edu,8 Monument Hill,Seattle,WA,98133
115,Bashirian and Sons,1-(469)365-0672,bbuer36@ucsd.edu,02 Arapahoe Street,Dallas,TX,75342
116,Bosco Inc,1-(402)522-2278,mhuckett37@webnode.com,21 Miller Pass,Lincoln,NE,68505
117,Boehm  Crona and Kessler,1-(913)580-2182,ideath38@nasa.gov,4027 Miller Way,Shawnee Mission,KS,66225
118,Abbott Inc,1-(804)879-0536,jcorry39@macromedia.com,66 Truax Road,Richmond,VA,23260
119,Marvin-Connelly,1-(602)189-1480,rvandenbosch3a@prlog.org,62382 Division Crossing,Phoenix,AZ,85040
120,Doyle-Marvin,1-(510)653-8225,alitel3b@etsy.com,1655 Kropf Alley,Richmond,CA,94807
121,Mann Group,1-(714)802-1898,flohoar3c@gizmodo.com,7427 6th Pass,Anaheim,CA,92825
122,Kuhlman LLC,1-(716)616-1430,lwhitlam3d@themeforest.net,41918 North Alley,Buffalo,NY,14215
123,Beatty-Wiza,1-(801)152-5537,gkenninghan3e@feedburner.com,10950 Brown Junction,Salt Lake City,UT,84145
124,Jacobi Group,1-(574)145-2330,mbarnsley3f@walmart.com,2 Fremont Parkway,South Bend,IN,46699
125,Schaden  Hudson and D'Amore,1-(212)956-1411,brispin3g@canalblog.com,7 Prairie Rose Way,New York City,NY,10160
126,Koelpin-Sipes,1-(409)866-6872,rtabary3h@samsung.com,81997 Golf View Park,Spring,TX,77388
127,Lynch-Runolfsdottir,1-(702)198-8509,nkornel3i@pen.io,2044 Comanche Junction,Las Vegas,NV,89110
128,Purdy  Purdy and Krajcik,1-(412)968-2568,pfranklin3j@360.cn,8 Lerdahl Lane,Pittsburgh,PA,15279
129,Stiedemann-Huel,1-(915)756-5991,dgrinsdale3k@apple.com,42 Barby Pass,El Paso,TX,88563
130,Lang-Herzog,1-(608)319-8507,anorthbridge3l@liveinternet.ru,5 Mallard Lane,Madison,WI,53705
131,Windler  Rogahn and Howe,1-(914)951-5872,tbaudinet3m@angelfire.com,34 Burrows Court,Yonkers,NY,10705
132,Schiller  Bogisich and Barton,1-(402)352-2546,vdurden3n@amazon.com,9 Macpherson Alley,Omaha,NE,68110
133,Koepp  West and Hoeger,1-(704)940-5945,ayerbury3o@hp.com,07113 Manitowish Road,Charlotte,NC,28220
134,DuBuque  Eichmann and Mitchell,1-(317)670-5876,clinskey3p@macromedia.com,6841 Erie Alley,Indianapolis,IN,46254
135,Prohaska  Robel and Kris,1-(763)498-6751,caizikovich3q@nationalgeographic.com,4 Warner Crossing,Monticello,MN,55590
136,Von Inc,1-(414)522-4483,hrarity3r@hao123.com,07 Buell Hill,Milwaukee,WI,53215
137,Batz Inc,1-(202)687-0765,marmell3s@dailymotion.com,84956 Prairieview Road,Washington,DC,20067
138,Ernser-Hoppe,1-(727)567-0226,aclows3t@trellian.com,0 Portage Avenue,Saint Petersburg,FL,33731
139,MacGyver-Schumm,1-(408)497-0755,dshilling3u@marriott.com,3 Butterfield Pass,San Jose,CA,95150
140,Frami  Hickle and Runte,1-(509)479-7891,sstiger3v@imageshack.us,76 Armistice Park,Spokane,WA,99220
141,Lynch-Kautzer,1-(361)676-5386,ppiddle3w@dell.com,8 Kenwood Alley,Corpus Christi,TX,78410
142,Deckow  Gutkowski and Franecki,1-(501)556-2253,hrisbie3x@usgs.gov,971 Fulton Hill,North Little Rock,AR,72199
143,Torphy and Sons,1-(810)979-6461,ttavner3y@w3.org,301 Amoth Avenue,Flint,MI,48505
144,Konopelski  Bosco and Welch,1-(570)541-5337,bbright3z@over-blog.com,57903 Pleasure Crossing,Wilkes Barre,PA,18763
145,Stamm  Welch and Reichel,1-(256)480-4356,tgraffham40@mail.ru,7 Valley Edge Parkway,Anniston,AL,36205
146,Lakin-Marquardt,1-(585)908-0348,kcondie41@desdev.cn,6771 Harbort Circle,Rochester,NY,14652
147,Quigley LLC,1-(612)729-7957,lfranz42@gravatar.com,8262 Magdeline Lane,Minneapolis,MN,55448
148,Ryan  Dooley and Lindgren,1-(530)614-2695,raxtell43@europa.eu,73950 Killdeer Point,Sacramento,CA,95818
149,Davis-Hegmann,1-(414)329-8393,vflann44@amazon.co.jp,003 Erie Circle,Milwaukee,WI,53215
150,Carter  Barton and Balistreri,1-(718)449-6476,fsleany45@blinklist.com,83480 Donald Drive,Brooklyn,NY,11236
151,Homenick  Gulgowski and Mohr,1-(617)363-8546,kdurston46@soup.io,4 Old Gate Street,Boston,MA,2283
152,Reilly-Renner,1-(602)532-6444,sbrugger47@google.ru,2 La Follette Road,Glendale,AZ,85311
153,Ward and Sons,1-(248)169-1425,vniccolls48@barnesandnoble.com,735 Golden Leaf Avenue,Farmington,MI,48335
154,Lockman-Cummerata,1-(765)608-8883,mbennion49@booking.com,40918 Welch Park,Anderson,IN,46015
155,Lynch-Harber,1-(610)229-6448,kmcclune4a@theglobeandmail.com,0 Prairieview Way,Reading,PA,19605
156,Jerde Inc,1-(619)155-7893,bmarie4b@mail.ru,7020 Muir Point,San Diego,CA,92176
157,Hermiston  Doyle and Blick,1-(415)682-4402,jgoolden4c@purevolume.com,848 Walton Way,San Francisco,CA,94169
158,Heaney  Grimes and Leannon,1-(419)452-7883,thasling4d@narod.ru,1922 Kingsford Way,Lima,OH,45807
159,Oberbrunner  Jacobi and Mohr,1-(512)727-9588,dlakey4e@europa.eu,39383 Fulton Center,Austin,TX,78789
160,Breitenberg-Heidenreich,1-(570)844-9937,cfayer4f@netlog.com,63 Carberry Way,Scranton,PA,18514
161,Casper  Stamm and Yost,1-(315)875-1941,hgoodboddy4g@webnode.com,59628 Sutteridge Road,Syracuse,NY,13224
162,Metz Group,1-(210)849-3366,alohrensen4h@microsoft.com,04569 Larry Hill,San Antonio,TX,78296
163,Hilll  Fisher and Stehr,1-(302)625-1161,maldwick4i@shareasale.com,00501 Bashford Street,Wilmington,DE,19805
164,Wolff Group,1-(317)454-8866,floyd4j@indiatimes.com,59 Straubel Alley,Indianapolis,IN,46202
165,Friesen-Nienow,1-(239)234-3536,bpeverell4k@umich.edu,534 Wayridge Crossing,Naples,FL,33963
166,Fritsch-Torphy,1-(239)487-2346,rmallabar4l@bravesites.com,2 Briar Crest Hill,Naples,FL,34102
167,Moen  McKenzie and Kulas,1-(210)575-9690,pwaine4m@nytimes.com,90748 Vera Circle,San Antonio,TX,78296
168,VonRueden-Kohler,1-(919)699-5819,mclapston4n@sciencedaily.com,3 4th Road,Raleigh,NC,27635
169,Leannon  Borer and Hyatt,1-(515)547-3800,kallawy4o@csmonitor.com,12 Michigan Point,Des Moines,IA,50305
170,Schulist-Pollich,1-(915)445-6100,bchampneys4p@usda.gov,5 Talisman Court,El Paso,TX,79916
171,Hagenes Group,1-(817)996-3259,deddisforth4q@disqus.com,7312 Di Loreto Crossing,Fort Worth,TX,76129
172,Hoeger-Kulas,1-(540)363-4940,mlockless4r@wufoo.com,3 Dunning Road,Roanoke,VA,24040
173,Ritchie-Parisian,1-(803)710-6191,ospada4s@furl.net,3595 Moulton Plaza,Columbia,SC,29215
174,Murazik  Gottlieb and Schultz,1-(304)202-1090,scorkhill4t@skyrock.com,0022 Harbort Circle,Charleston,WV,25331
175,Kling-Greenfelder,1-(336)848-1776,brouzet4u@dot.gov,2184 Washington Road,Winston Salem,NC,27157
176,Schowalter  Murphy and Reichert,1-(239)533-1678,lkachel4v@springer.com,89 Garrison Place,Fort Myers,FL,33906
177,Mayer-Quigley,1-(915)505-9188,bloding4w@hexun.com,77453 Scott Circle,El Paso,TX,79950
178,Harvey  Witting and Kovacek,1-(215)200-7618,fpreshous4x@ameblo.jp,91413 Delaware Alley,Philadelphia,PA,19136
179,Schuster LLC,1-(423)522-8033,ddanahar4y@linkedin.com,57455 Killdeer Parkway,Chattanooga,TN,37410
180,Hyatt  Okuneva and Swift,1-(561)977-7728,cstoffer4z@macromedia.com,9409 Del Mar Crossing,Lake Worth,FL,33467
181,Nicolas  Heathcote and McClure,1-(804)323-8856,broiz50@spiegel.de,9 Leroy Parkway,Richmond,VA,23277
182,Ebert Inc,1-(814)937-6252,adodsley51@comsenz.com,63938 Eastwood Road,Erie,PA,16550
183,Gislason-Waters,1-(772)351-9625,mflatte52@blogtalkradio.com,99001 Hagan Junction,Vero Beach,FL,32964
184,Parisian  Balistreri and Hane,1-(864)246-0065,sgennrich53@time.com,72 Loftsgordon Park,Greenville,SC,29615
185,Marks  Cormier and Schiller,1-(813)144-5529,arevill54@ucoz.com,9 Petterle Alley,Tampa,FL,33605
186,Bauch-Reynolds,1-(504)893-9658,bpagan55@youtube.com,43 Cardinal Pass,New Orleans,LA,70165
187,Bahringer and Sons,1-(407)995-9548,bcarlow56@ft.com,7087 Butternut Trail,Orlando,FL,32830
188,Botsford Group,1-(615)991-2603,ckennet57@discuz.net,793 Stoughton Alley,Nashville,TN,37250
189,Hand-Runolfsson,1-(402)794-3259,jmceniry58@bbb.org,417 Prairieview Circle,Omaha,NE,68124
190,Murazik-Jakubowski,1-(318)193-8420,rfrancescuccio59@umn.edu,64271 Mcguire Pass,Shreveport,LA,71137
191,Ruecker-Spinka,1-(937)564-2316,gmilmo5a@pcworld.com,79636 Mallard Point,Springfield,OH,45505
192,Anderson and Sons,1-(318)160-2827,jayce5b@mayoclinic.com,9989 Scott Avenue,Shreveport,LA,71115
193,Bernhard Inc,1-(202)357-2507,kspurrett5c@paginegialle.it,16000 Buena Vista Center,Washington,DC,20268
194,Gusikowski and Sons,1-(530)761-2256,ayeomans5d@newsvine.com,15855 Portage Avenue,Chico,CA,95973
195,Gislason  Harris and Konopelski,1-(813)936-3094,calves5e@free.fr,35019 Columbus Pass,Tampa,FL,33680
196,Murphy-West,1-(214)591-4664,sthow5f@yolasite.com,72478 Hazelcrest Alley,Dallas,TX,75236
197,Langosh LLC,1-(440)526-6122,dtatnell5g@google.de,74 Vidon Trail,Cleveland,OH,44130
198,Kuphal LLC,1-(910)298-2967,pmctiernan5h@cbslocal.com,7 Summer Ridge Junction,Fayetteville,NC,28314
199,Wisozk Inc,1-(216)466-3318,rgajownik5i@msn.com,76022 Dovetail Place,Cleveland,OH,44111
200,Boyer  Lehner and Goldner,1-(312)917-3158,lsteckings5j@imageshack.us,6 Mesta Parkway,Chicago,IL,60697
201,Emard Inc,1-(616)422-4189,xdole5k@lycos.com,6563 International Street,Grand Rapids,MI,49560
202,Lehner Inc,1-(254)335-5405,bmacmaykin5l@ted.com,178 Northfield Road,Gatesville,TX,76598
203,Watsica-Thiel,1-(619)188-3504,btabbitt5m@google.com,0 Tony Center,San Diego,CA,92186
204,Murazik  Strosin and Heidenreich,1-(816)705-4361,acristobal5n@reference.com,5 Maryland Court,Kansas City,MO,64142
205,Weissnat-Abbott,1-(304)383-9104,jarnout5o@amazon.de,22 Briar Crest Court,Charleston,WV,25389
206,Pfannerstill Group,1-(785)624-3931,sclail5p@independent.co.uk,0115 Continental Avenue,Topeka,KS,66699
207,Jacobs  Will and Lindgren,1-(646)200-0607,eedgerly5q@cbslocal.com,93392 Delladonna Avenue,New York City,NY,10270
208,Deckow and Sons,1-(949)369-2275,kpodmore5r@home.pl,04031 Bultman Avenue,Newport Beach,CA,92662
209,Tillman-Bogisich,1-(860)606-3576,cconkie5s@independent.co.uk,14100 Schiller Plaza,Hartford,CT,6183
210,Herzog-Howell,1-(775)211-1443,cstickells5t@blinklist.com,73 Nelson Junction,Reno,NV,89510
211,Von Group,1-(763)531-1000,mivison5u@ocn.ne.jp,1114 Autumn Leaf Drive,Minneapolis,MN,55428
212,Bauch LLC,1-(251)995-7086,eslowcock5v@tumblr.com,08909 Comanche Court,Mobile,AL,36641
213,Rolfson-Schuppe,1-(904)325-4787,sharrow5w@icq.com,6 Milwaukee Street,Jacksonville,FL,32209
214,Zboncak Inc,1-(414)182-4834,sabbay5x@alibaba.com,84 Toban Plaza,Milwaukee,WI,53277
215,Kunze  Gerlach and Vandervort,1-(863)189-1425,cdecoursey5y@elpais.com,3193 Killdeer Center,Lakeland,FL,33805
216,Tromp  Koch and Schaden,1-(323)135-0122,ptibb5z@shinystat.com,1 Independence Lane,Los Angeles,CA,90076
217,Dickens-Bednar,1-(202)343-1967,daldersey60@dailymail.co.uk,8573 Northwestern Drive,Washington,DC,20380
218,Krajcik LLC,1-(347)670-1254,rmilne61@imgur.com,23695 Kennedy Road,Flushing,NY,11388
219,Huels Inc,1-(714)964-0625,tollie62@constantcontact.com,2926 Redwing Court,Orange,CA,92867
220,VonRueden  Rosenbaum and Sanford,1-(559)620-4648,sroux63@instagram.com,0 Mcguire Trail,Fresno,CA,93786
221,Farrell Group,1-(410)801-1785,mmacauley64@blog.com,6 Rockefeller Terrace,Baltimore,MD,21265
222,Von-Carter,1-(702)190-1952,vguiso65@newsvine.com,23999 Michigan Parkway,Las Vegas,NV,89140
223,Cummerata and Sons,1-(330)736-6296,mcumberledge66@sciencedirect.com,31 Everett Circle,Akron,OH,44310
224,Grant  Heller and Schaden,1-(515)940-7367,jmadre67@google.pl,9293 Schlimgen Park,Des Moines,IA,50393
225,Schiller-Maggio,1-(216)501-7912,asturror68@comsenz.com,14 Kedzie Center,Cleveland,OH,44111
226,Gleichner and Sons,1-(225)523-2383,lrampling69@guardian.co.uk,30 Dryden Court,Baton Rouge,LA,70894
227,Armstrong-Schmeler,1-(916)405-6583,mzylberdik6a@umich.edu,45372 Oak Valley Avenue,Sacramento,CA,94207
228,Kulas  Howell and Schowalter,1-(202)147-7870,pneagle6b@mozilla.org,98 Grim Crossing,Washington,DC,20442
229,Wilderman Group,1-(317)215-8234,hgibson6c@imgur.com,3696 Butterfield Lane,Indianapolis,IN,46254
230,Hintz-Funk,1-(415)855-9896,gdeppen6d@dot.gov,96 Upham Hill,San Francisco,CA,94177
231,Hahn and Sons,1-(240)439-4846,jgoodinson6e@engadget.com,44 Morningstar Hill,Gaithersburg,MD,20883
232,Miller-Wuckert,1-(217)711-6433,gpeascod6f@tinyurl.com,47 Dovetail Street,Springfield,IL,62794
233,Homenick-Hudson,1-(323)143-4584,eaberdalgy6g@reference.com,5 Lindbergh Avenue,Los Angeles,CA,90025
234,Parisian  Green and Dicki,1-(816)125-6234,cdanielsen6h@netscape.com,939 Annamark Road,Kansas City,MO,64101
235,Buckridge  Borer and Gerhold,1-(915)294-9003,brossiter6i@privacy.gov.au,33 Kennedy Junction,El Paso,TX,88558
